ReturnID,OrderID,ProductID,ReturnDate,ReturnQty,ReturnReason,RefundAmount
54,1544,172,2025-05-24,2,Damaged,629.46
55,1569,219,2025-10-28,1,Size Issue,6162.23
56,1594,157,2026-03-02,2,Late Delivery,8411.02
57,1685,210,2024-05-02,2,Defective,5857.0
58,1711,231,2024-09-23,2,Late Delivery,813.43
59,1719,398,2025-09-19,2,Wrong Item,5006.5
60,1722,405,2025-08-26,2,Wrong Item,9558.26
61,1737,248,2026-03-20,1,Damaged,2512.32
62,1913,41,2024-03-01,1,Size Issue,4151.59
63,1959,497,2026-07-29,2,Wrong Item,8149.54
64,1991,429,2024-04-11,2,Wrong Item,5644.84
65,2023,152,2023-03-01,2,Defective,643.88
66,2065,366,2023-10-05,2,Late Delivery,3454.51
67,2073,428,2025-09-18,2,Late Delivery,6808.7
68,2099,112,2024-11-18,1,Size Issue,6211.77
69,2179,243,2025-05-10,1,Size Issue,5703.89
70,2181,412,2025-04-10,2,Defective,9984.87
71,2190,451,2024-02-10,1,Defective,354.05
72,2230,246,2025-09-08,1,Damaged,8380.95
73,2241,216,2025-04-01,2,Wrong Item,9909.65
74,2243,348,2025-02-21,1,Size Issue,7424.29
75,2272,111,2026-05-04,2,Defective,11045.21
76,2329,352,2024-05-10,2,Late Delivery,3219.86
77,2330,293,2024-01-15,1,Late Delivery,6037.52
78,2338,240,2025-01-30,2,Damaged,8574.6
79,2354,334,2023-09-10,2,Customer Changed Mind,4281.61
80,2366,24,2024-05-19,1,Late Delivery,5053.65
81,2374,441,2025-03-31,2,Damaged,9083.78
82,2375,188,2024-04-08,1,Size Issue,7595.04
83,2414,64,2026-08-30,2,Wrong Item,3549.32
84,2434,357,2023-05-26,1,Late Delivery,7462.54
85,2442,488,2026-01-06,2,Defective,3005.65
86,2495,413,2026-07-13,1,Damaged,7450.84
87,2496,279,2025-08-05,1,Customer Changed Mind,3975.64
88,2501,190,2023-05-31,1,Size Issue,8892.67
89,2522,294,2025-12-04,2,Customer Changed Mind,9693.99
90,2591,481,2023-10-23,1,Customer Changed Mind,7394.18
91,2618,170,2026-08-01,2,Wrong Item,3068.97
92,2653,292,2025-01-27,2,Defective,3481.11
93,2722,380,2025-02-18,2,Customer Changed Mind,10439.67
94,2727,58,2024-11-03,2,Defective,10641.92
95,2730,261,2023-02-20,2,Damaged,7463.28
96,2752,3,2024-05-11,1,Size Issue,11880.86
97,2765,342,2024-10-21,2,Customer Changed Mind,9242.91
98,2775,405,2024-04-09,1,Defective,1750.91
99,2788,148,2023-07-28,1,Size Issue,8615.22
100,2793,325,2024-08-31,2,Defective,770.58
101,2797,138,2024-08-16,2,Customer Changed Mind,4946.32
102,2817,238,2025-10-30,2,Damaged,2437.85
103,2827,168,2026-07-31,1,Wrong Item,1745.94
104,2849,37,2023-08-10,1,Size Issue,6706.11
105,2860,426,2024-05-12,1,Size Issue,2037.51
106,2862,350,2024-03-19,2,Customer Changed Mind,8093.41
107,2881,247,2026-02-28,1,Wrong Item,4074.82
108,2889,284,2025-11-07,1,Damaged,4356.16
109,2917,67,2023-11-20,2,Customer Changed Mind,2542.42
110,2939,407,2026-05-21,1,Defective,6740.94
111,2976,483,2025-12-16,2,Wrong Item,11656.72
112,2984,402,2024-03-18,2,Wrong Item,1650.71
113,2989,196,2023-09-03,2,Size Issue,5638.17
114,3002,495,2023-07-06,1,Customer Changed Mind,9066.92
115,3003,353,2026-07-07,2,Late Delivery,2410.74
116,3046,193,2025-12-26,2,Defective,1702.69
117,3059,200,2023-06-29,1,Customer Changed Mind,3706.29
118,3070,480,2024-04-23,2,Late Delivery,4354.99
119,3082,198,2023-12-30,2,Defective,802.7
120,3105,306,2025-08-30,2,Late Delivery,4297.89
121,3108,371,2025-08-23,2,Damaged,10599.91
122,3162,288,2026-06-25,2,Customer Changed Mind,6286.1
123,3164,271,2023-11-27,2,Size Issue,6873.78
124,3165,262,2025-07-21,2,Size Issue,11953.35
125,3193,86,2025-06-24,2,Wrong Item,4352.88
126,3200,275,2025-03-09,1,Late Delivery,10176.09
127,3218,433,2025-07-10,2,Damaged,3992.88
128,3219,464,2023-07-24,2,Damaged,6008.38
129,3314,85,2025-06-21,2,Damaged,10222.49
130,3386,426,2026-04-27,2,Defective,11774.98
131,3408,389,2024-07-10,1,Size Issue,9952.51
132,3443,373,2023-04-05,1,Customer Changed Mind,9280.59
133,3506,418,2023-12-04,1,Late Delivery,11922.51
134,3526,492,2023-06-09,2,Size Issue,1885.96
135,3546,153,2026-08-11,1,Wrong Item,9018.57
136,3603,303,2024-07-01,1,Customer Changed Mind,11026.86
137,3631,402,2023-07-22,2,Wrong Item,3108.42
138,3634,332,2024-09-14,1,Wrong Item,2239.93
139,3638,419,2025-04-08,2,Defective,9274.0
140,3651,376,2025-10-27,2,Defective,5083.76
141,3653,53,2025-03-08,2,Customer Changed Mind,10931.01
142,3670,77,2023-10-16,2,Size Issue,9855.85
143,3702,23,2025-04-18,2,Late Delivery,10354.55
144,3708,462,2025-03-08,1,Damaged,8015.92
145,3714,295,2024-12-17,1,Size Issue,7902.54
146,3716,407,2025-02-18,2,Size Issue,8065.21
147,3726,385,2023-02-22,2,Defective,7601.97
148,3770,38,2025-11-02,2,Customer Changed Mind,9242.35
149,3775,445,2024-09-27,2,Defective,2417.6
150,3780,30,2026-03-07,2,Customer Changed Mind,10377.32
151,3836,407,2026-01-12,2,Late Delivery,3435.56
152,3844,143,2025-09-17,1,Size Issue,7070.31
153,3851,429,2025-04-30,1,Late Delivery,9674.64
154,3871,250,2024-10-25,2,Defective,9811.03
155,3991,134,2025-05-25,1,Damaged,6848.53
156,4004,413,2025-09-04,2,Size Issue,7822.63
157,4066,364,2024-10-09,2,Damaged,10133.28
158,4081,476,2023-06-28,1,Wrong Item,8118.22
159,4095,351,2025-07-08,2,Damaged,10857.86
160,4110,185,2025-02-09,1,Damaged,6870.3
161,4160,258,2024-09-18,2,Defective,8346.58
162,4196,299,2023-12-25,2,Late Delivery,11341.13
163,4213,386,2023-09-14,2,Defective,605.36
164,4214,444,2023-05-24,1,Wrong Item,11104.78
165,4262,328,2023-07-27,1,Wrong Item,6024.93
166,4309,423,2023-08-05,1,Wrong Item,2865.07
167,4327,215,2025-08-03,1,Damaged,3287.6
168,4334,477,2025-06-06,1,Defective,5071.46
169,4341,121,2024-03-04,2,Late Delivery,7242.71
170,4374,453,2024-04-09,1,Size Issue,9617.73
171,4472,126,2024-10-03,1,Customer Changed Mind,5844.71
172,4520,23,2023-04-12,1,Wrong Item,1043.29
173,4545,380,2026-07-04,1,Size Issue,7263.01
174,4551,190,2026-01-29,2,Damaged,8865.9
175,4574,264,2025-12-13,1,Damaged,8044.12
176,4578,230,2026-05-11,2,Damaged,7403.03
177,4621,104,2026-06-27,2,Damaged,4611.35
178,4641,136,2026-05-24,2,Wrong Item,5011.33
179,4668,203,2026-05-02,2,Size Issue,7756.31
180,4889,133,2023-02-10,2,Customer Changed Mind,3697.58
181,4901,298,2023-02-01,2,Customer Changed Mind,2257.31
182,4919,225,2024-10-06,1,Late Delivery,9626.97
183,4960,254,2023-12-29,1,Size Issue,8934.28
184,4979,83,2024-09-18,1,Size Issue,5321.84
185,4994,243,2024-06-22,2,Late Delivery,5444.41
186,5003,247,2026-02-05,2,Damaged,10014.95
187,5047,170,2023-08-06,1,Size Issue,5119.09
188,5053,234,2026-02-05,1,Size Issue,9693.5
189,5078,189,2024-02-02,1,Wrong Item,8926.56
190,5085,201,2024-04-29,1,Defective,10884.43
191,5101,98,2026-04-14,2,Size Issue,8482.28
192,5162,234,2023-07-05,2,Wrong Item,4060.01
193,5186,466,2023-05-05,2,Damaged,9872.32
194,5194,87,2023-04-24,1,Customer Changed Mind,5370.98
195,5221,395,2023-10-30,2,Wrong Item,2718.22
196,5228,299,2025-03-18,2,Customer Changed Mind,5523.52
197,5229,27,2025-06-27,2,Damaged,475.95
198,5235,261,2023-06-27,1,Size Issue,4994.34
199,5277,422,2024-08-23,1,Size Issue,4440.94
200,5316,263,2024-02-12,2,Damaged,4951.74
201,5320,336,2025-08-28,2,Damaged,10699.55
202,5337,121,2024-03-17,1,Late Delivery,4227.89
203,5392,39,2024-12-09,1,Customer Changed Mind,9738.01
204,5440,99,2023-03-27,1,Customer Changed Mind,1742.14
205,5486,112,2023-05-17,2,Late Delivery,3261.2
206,5517,308,2023-11-17,2,Customer Changed Mind,8450.69
207,5529,153,2025-10-28,1,Defective,7094.91
208,5532,61,2023-11-06,1,Defective,2029.09
209,5551,290,2025-11-08,1,Wrong Item,6629.7
210,5627,33,2025-07-12,1,Wrong Item,4422.06
211,5671,350,2024-01-01,2,Customer Changed Mind,5052.18
212,5690,368,2026-03-30,2,Defective,2892.97
213,5696,336,2026-02-03,1,Late Delivery,3400.35
214,5698,382,2026-03-05,2,Damaged,2715.26
215,5746,421,2026-07-27,1,Wrong Item,10329.08
216,5757,277,2025-07-13,2,Size Issue,6835.79
217,5759,446,2024-03-20,2,Size Issue,5849.7
218,5772,424,2025-05-28,1,Damaged,10022.36
219,5783,37,2025-11-03,1,Damaged,3541.48
220,5791,174,2024-09-08,2,Size Issue,4834.45
221,5837,371,2026-07-29,1,Customer Changed Mind,6576.44
222,5895,311,2023-01-20,1,Customer Changed Mind,5079.12
223,5901,421,2026-01-03,1,Customer Changed Mind,2138.78
224,5921,101,2026-08-03,1,Wrong Item,2472.01
225,5953,39,2026-01-22,1,Wrong Item,515.39
226,6013,379,2026-07-13,2,Customer Changed Mind,10091.75
227,6016,340,2025-06-29,2,Wrong Item,8492.42
228,6019,26,2023-06-11,1,Customer Changed Mind,6532.75
229,6042,47,2024-05-25,2,Customer Changed Mind,6081.13
230,6076,432,2026-04-10,2,Damaged,3484.18
231,6099,478,2025-04-17,1,Wrong Item,11600.7
232,6152,183,2023-07-07,1,Damaged,2431.64
233,6210,291,2023-11-03,1,Late Delivery,3713.02
234,6272,301,2026-03-20,2,Damaged,1052.59
235,6302,81,2023-09-22,2,Damaged,9728.69
236,6400,231,2023-05-13,2,Wrong Item,7800.33
237,6412,22,2024-07-25,2,Late Delivery,6229.87
238,6426,128,2023-11-13,1,Size Issue,9866.7
239,6445,219,2024-05-08,2,Defective,11989.19
240,6505,165,2025-06-29,2,Customer Changed Mind,3816.5
241,6515,30,2026-07-09,1,Customer Changed Mind,11387.43
242,6519,142,2026-04-25,2,Size Issue,8777.59
243,6556,481,2024-07-19,1,Defective,381.71
244,6622,312,2025-01-02,2,Defective,10284.06
245,6644,76,2024-05-28,1,Size Issue,10684.12
246,6649,37,2023-05-19,2,Late Delivery,10111.22
247,6660,205,2023-11-13,1,Defective,9547.4
248,6691,186,2023-12-23,2,Defective,7038.12
249,6719,23,2025-09-03,1,Customer Changed Mind,3083.56
250,6757,55,2026-03-14,1,Defective,866.73
251,6807,372,2024-06-15,1,Size Issue,5995.96
252,6819,93,2025-09-20,2,Late Delivery,6798.65
253,6825,6,2026-02-02,1,Late Delivery,5696.17
254,6878,307,2026-03-05,2,Damaged,833.24
255,6907,156,2025-01-25,2,Wrong Item,5598.54
256,6936,174,2024-02-18,1,Wrong Item,11057.55
257,6990,248,2023-03-01,1,Size Issue,3987.92
258,7000,106,2024-01-01,2,Damaged,5272.42
259,7036,340,2024-04-23,2,Size Issue,7169.58
260,7037,300,2025-09-20,2,Wrong Item,8097.79
261,7201,218,2025-02-04,1,Size Issue,2072.42
262,7237,494,2023-04-22,1,Defective,3365.91
263,7293,227,2024-08-03,2,Late Delivery,10902.44
264,7333,491,2025-09-20,2,Damaged,6298.76
265,7335,365,2024-10-22,2,Late Delivery,3013.7
266,7366,468,2024-02-08,1,Customer Changed Mind,11419.71
267,7379,475,2024-05-18,2,Wrong Item,5101.87
268,7381,263,2026-03-21,2,Damaged,3868.44
269,7410,426,2024-10-13,1,Customer Changed Mind,4362.57
270,7430,435,2025-07-19,2,Wrong Item,8187.41
271,7437,254,2026-02-14,2,Defective,10243.57
272,7452,447,2026-07-06,2,Damaged,1752.95
273,7457,78,2023-03-09,2,Late Delivery,3892.03
274,7522,383,2024-06-23,2,Damaged,3916.32
275,7551,112,2025-10-05,2,Damaged,1959.16
276,7555,215,2023-09-25,1,Size Issue,3355.41
277,7584,457,2024-04-25,2,Size Issue,7399.86
278,7596,365,2024-08-21,1,Damaged,11706.96
279,7630,379,2024-08-27,1,Late Delivery,8354.9
280,7644,106,2025-04-05,1,Size Issue,9602.96
281,7649,500,2025-02-21,2,Customer Changed Mind,4341.62
282,7682,242,2025-11-19,1,Customer Changed Mind,3335.51
283,7684,368,2026-02-09,2,Defective,7345.37
284,7735,208,2024-07-06,2,Defective,3739.18
285,7739,156,2024-11-26,2,Wrong Item,11148.95
286,7751,372,2023-11-12,2,Wrong Item,3678.16
287,7762,210,2026-01-02,2,Size Issue,1050.36
288,7795,348,2025-11-22,2,Size Issue,7129.81
289,7847,395,2024-03-24,1,Late Delivery,9263.52
290,7853,126,2023-06-11,1,Late Delivery,6378.41
291,7859,487,2023-09-15,1,Damaged,814.28
292,7860,294,2024-03-21,1,Late Delivery,7179.7
293,7861,18,2024-06-29,2,Size Issue,11931.92
294,7863,259,2026-02-26,1,Wrong Item,3333.18
295,7868,91,2023-07-03,1,Customer Changed Mind,429.18
296,7898,53,2026-08-15,2,Wrong Item,10666.92
297,8013,494,2023-06-25,1,Size Issue,1636.54
298,8017,259,2024-11-03,1,Damaged,10987.68
299,8030,211,2023-07-15,2,Damaged,3121.81
300,8043,497,2025-08-16,1,Size Issue,9681.87
301,8090,319,2024-12-12,2,Damaged,6754.92
302,8122,87,2026-07-16,1,Defective,7736.21
303,8148,478,2023-07-18,2,Damaged,11072.6
304,8149,301,2023-02-22,1,Size Issue,11876.04
305,8154,79,2025-06-25,1,Customer Changed Mind,8253.07
306,8171,462,2023-03-17,2,Wrong Item,10561.3
307,8185,280,2025-07-24,1,Defective,10103.76
308,8205,295,2023-02-12,1,Size Issue,5867.09
309,8275,439,2024-01-24,1,Defective,9057.46
310,8276,339,2026-04-13,2,Customer Changed Mind,10118.51
311,8317,443,2023-09-08,1,Wrong Item,11074.76
312,8336,149,2023-09-08,2,Late Delivery,4462.37
313,8365,23,2023-02-02,2,Customer Changed Mind,2117.89
314,8393,463,2023-02-10,2,Size Issue,9996.83
315,8429,322,2026-06-17,2,Damaged,8599.18
316,8432,316,2023-11-12,1,Size Issue,3963.06
317,8446,6,2026-06-24,1,Defective,11724.22
318,8495,452,2025-09-30,1,Defective,8878.81
319,8526,315,2024-11-25,2,Customer Changed Mind,9192.67
320,8527,475,2024-06-03,2,Damaged,546.69
321,8558,312,2024-12-18,2,Late Delivery,11446.45
322,8580,219,2023-10-05,1,Customer Changed Mind,8825.33
323,8667,341,2024-03-10,1,Customer Changed Mind,1837.61
324,8679,312,2026-09-13,2,Defective,11849.2
325,8697,234,2026-07-14,1,Wrong Item,7373.49
326,8736,85,2026-08-19,2,Customer Changed Mind,4986.74
327,8768,322,2024-11-14,1,Late Delivery,5338.73
328,8770,183,2025-02-26,2,Customer Changed Mind,10224.63
329,8802,197,2024-01-07,2,Customer Changed Mind,4524.65
330,8827,230,2025-09-24,1,Customer Changed Mind,11371.14
331,8838,279,2024-11-10,1,Late Delivery,2619.76
332,8845,458,2024-07-06,2,Wrong Item,7284.26
333,8870,170,2026-06-23,2,Damaged,11978.9
334,8936,105,2026-05-23,1,Defective,1685.06
335,8942,92,2025-10-19,1,Damaged,2069.95
336,8956,410,2026-01-25,2,Damaged,1873.64
337,8966,154,2024-09-15,1,Defective,10698.61
338,8967,153,2025-02-11,2,Customer Changed Mind,1357.26
339,9027,267,2026-01-14,1,Defective,8922.28
340,9132,342,2025-03-29,2,Defective,504.29
341,9143,350,2025-01-06,1,Damaged,10429.85
342,9190,396,2024-06-17,1,Size Issue,11341.56
343,9197,388,2023-12-26,2,Wrong Item,476.33
344,9214,180,2025-02-27,2,Size Issue,1148.36
345,9216,279,2024-09-28,2,Size Issue,11469.58
346,9241,397,2024-08-04,2,Customer Changed Mind,10595.61
347,9294,252,2026-08-01,2,Damaged,3827.35
348,9381,409,2024-10-10,2,Size Issue,551.05
349,9390,146,2024-10-05,2,Late Delivery,11985.11
350,9406,355,2023-02-09,1,Damaged,11293.45
351,9419,65,2025-05-20,2,Size Issue,10180.42
352,9422,114,2026-02-28,1,Defective,1202.15
353,9460,232,2024-02-25,1,Customer Changed Mind,11104.27
354,9508,258,2026-03-17,2,Customer Changed Mind,4144.49
355,9519,347,2025-01-18,2,Defective,6258.73
356,9526,207,2023-06-09,1,Damaged,9130.89
357,9545,261,2024-08-29,1,Damaged,2078.57
358,9561,3,2024-08-25,1,Size Issue,7368.82
359,9575,23,2025-05-17,1,Customer Changed Mind,6170.07
360,9578,270,2026-03-18,2,Wrong Item,6945.32
361,9583,63,2024-09-03,1,Damaged,4306.32
362,9598,448,2023-11-01,2,Customer Changed Mind,4173.05
363,9664,233,2026-05-26,2,Customer Changed Mind,3083.66
364,9682,379,2025-11-22,1,Damaged,6808.59
365,9706,173,2023-04-12,2,Customer Changed Mind,5423.23
366,9740,163,2025-12-20,1,Late Delivery,5552.47
367,9813,179,2023-05-17,1,Customer Changed Mind,4232.96
368,9840,125,2024-07-31,1,Late Delivery,11811.28
369,9858,9,2025-09-01,2,Wrong Item,780.65
370,9861,433,2026-07-19,2,Damaged,859.87
371,9874,398,2023-11-13,2,Customer Changed Mind,2568.09
372,9922,142,2025-11-01,2,Customer Changed Mind,3438.69
373,9924,221,2024-07-02,2,Defective,8970.79
374,9990,315,2023-08-10,2,Wrong Item,9560.98
375,10054,219,2026-01-10,2,Customer Changed Mind,9105.64
376,10055,495,2026-05-17,2,Wrong Item,4714.9
377,10110,474,2026-06-21,2,Late Delivery,364.65
378,10115,355,2024-12-11,1,Wrong Item,6423.07
379,10146,182,2026-08-24,2,Wrong Item,4318.85
380,10154,397,2024-12-30,2,Late Delivery,2124.99
381,10171,196,2025-03-12,2,Defective,9719.59
382,10259,314,2026-08-05,1,Size Issue,10912.28
383,10290,145,2024-01-30,1,Size Issue,4963.37
384,10330,412,2023-03-24,1,Size Issue,1236.46
385,10351,411,2024-11-13,2,Damaged,10318.56
386,10407,233,2024-08-16,1,Customer Changed Mind,7218.24
387,10511,66,2026-06-10,2,Size Issue,9345.09
388,10532,342,2023-11-29,1,Wrong Item,8894.53
389,10592,416,2024-11-10,2,Wrong Item,3555.66
390,10615,306,2024-04-14,1,Defective,4195.42
391,10638,480,2026-06-30,2,Damaged,4033.5
392,10669,273,2025-04-09,1,Wrong Item,6054.49
393,10677,100,2023-07-28,1,Defective,4162.59
394,10686,55,2025-09-20,1,Customer Changed Mind,9771.78
395,10709,70,2026-06-14,1,Late Delivery,5653.41
396,10724,210,2025-03-29,1,Wrong Item,6184.12
397,10730,95,2023-06-25,2,Damaged,10914.2
398,10742,34,2023-01-29,1,Damaged,3871.71
399,10777,292,2023-03-09,1,Late Delivery,10894.99
400,10785,349,2026-04-19,2,Wrong Item,4648.26
401,10790,75,2023-04-05,2,Size Issue,7338.94
402,10843,457,2025-05-16,2,Damaged,1685.82
403,10852,41,2023-02-16,1,Wrong Item,4340.11
404,10882,165,2025-03-15,2,Wrong Item,5801.76
405,11027,472,2025-12-11,1,Damaged,11931.69
406,11048,228,2026-04-13,2,Size Issue,4463.45
407,11067,23,2025-02-13,1,Damaged,7721.93
408,11093,442,2025-05-01,1,Size Issue,909.16
409,11111,41,2025-07-11,1,Size Issue,10636.91
410,11138,125,2026-06-07,1,Defective,2601.62
411,11150,293,2023-08-28,2,Late Delivery,1309.8
412,11199,97,2024-03-10,1,Size Issue,707.25
413,11200,16,2023-06-26,1,Damaged,1442.31
414,11233,303,2025-11-14,2,Customer Changed Mind,773.22
415,11243,157,2024-08-11,2,Late Delivery,6378.28
416,11255,146,2025-02-15,1,Damaged,7249.98
417,11277,222,2024-05-17,2,Size Issue,2607.86
418,11319,245,2024-03-18,1,Size Issue,1202.0
419,11320,356,2023-03-05,2,Damaged,5166.5
420,11363,301,2023-03-10,2,Damaged,3039.49
421,11376,220,2023-06-04,2,Size Issue,2342.39
422,11395,22,2024-01-12,2,Late Delivery,6067.89
423,11396,110,2024-02-27,1,Late Delivery,11860.06
424,11468,424,2023-12-01,2,Defective,2039.86
425,11537,249,2024-02-29,1,Size Issue,2733.39
426,11540,131,2024-06-14,1,Wrong Item,11111.38
427,11545,91,2023-11-13,2,Size Issue,9564.79
428,11552,135,2024-12-19,1,Wrong Item,1180.86
429,11557,61,2026-05-11,1,Late Delivery,10018.33
430,11560,362,2025-04-21,2,Damaged,7635.5
431,11580,125,2025-09-13,1,Size Issue,2896.66
432,11597,8,2025-11-17,2,Damaged,621.64
433,11674,344,2025-09-28,1,Late Delivery,3211.74
434,11715,454,2024-01-06,2,Wrong Item,5920.55
435,11723,225,2023-03-12,1,Size Issue,5156.94
436,11747,21,2026-04-24,2,Defective,4795.35
437,11775,270,2025-04-03,1,Customer Changed Mind,4696.23
438,11809,134,2024-07-03,2,Customer Changed Mind,2530.08
439,11836,29,2026-05-21,2,Customer Changed Mind,4308.77
440,11910,17,2026-09-12,2,Size Issue,2488.99
441,11960,225,2026-05-24,1,Customer Changed Mind,6090.23
442,11972,476,2024-07-30,2,Wrong Item,3224.26
443,11985,474,2024-04-22,1,Size Issue,1544.45
444,12006,264,2025-05-31,2,Size Issue,8191.7
445,12009,283,2024-04-11,2,Late Delivery,7229.94
446,12026,45,2024-02-06,1,Wrong Item,4749.55
447,12036,233,2023-11-28,1,Customer Changed Mind,8299.75
448,12042,375,2025-02-07,1,Damaged,3019.04
449,12048,419,2024-04-22,1,Wrong Item,5560.09
450,12100,479,2023-06-12,1,Wrong Item,3633.49
451,12133,79,2025-05-13,1,Customer Changed Mind,9477.63
452,12136,242,2023-12-30,2,Damaged,7853.36
453,12142,356,2023-01-23,2,Defective,5998.31
454,12150,26,2024-10-16,1,Defective,1854.82
455,12156,8,2024-06-26,2,Defective,6211.1
456,12195,30,2024-01-13,1,Late Delivery,4831.51
457,12231,139,2025-04-19,1,Wrong Item,1150.51
458,12239,121,2023-04-14,2,Late Delivery,9188.4
459,12322,380,2023-11-27,1,Defective,6990.32
460,12332,491,2025-09-03,1,Late Delivery,1998.23
461,12335,318,2024-01-23,2,Late Delivery,1602.25
462,12359,130,2026-01-18,2,Damaged,11199.31
463,12370,116,2025-07-29,1,Wrong Item,349.25
464,12447,291,2024-10-26,1,Late Delivery,7474.57
465,12451,306,2023-08-02,2,Late Delivery,845.55
466,12465,444,2025-08-13,2,Late Delivery,7448.56
467,12496,83,2023-12-16,1,Customer Changed Mind,2902.64
468,12530,133,2026-06-26,1,Customer Changed Mind,6888.3
469,12567,274,2024-06-13,2,Late Delivery,8627.62
470,12579,163,2024-05-20,1,Late Delivery,2319.03
471,12597,5,2023-12-10,2,Late Delivery,4240.88
472,12617,219,2024-04-28,2,Wrong Item,7429.4
473,12620,165,2026-03-26,2,Wrong Item,3847.55
474,12622,183,2024-07-19,2,Wrong Item,1541.16
475,12629,72,2026-03-05,2,Late Delivery,3564.21
476,12647,351,2024-11-27,1,Wrong Item,10066.59
477,12659,445,2026-02-27,1,Defective,10851.13
478,12693,471,2025-12-28,1,Defective,7216.24
479,12696,365,2025-03-17,2,Defective,4906.28
480,12706,348,2023-10-04,2,Customer Changed Mind,6215.16
481,12777,56,2024-03-18,2,Size Issue,3932.73
482,12790,434,2026-06-21,1,Customer Changed Mind,2267.1
483,12896,119,2026-06-03,1,Late Delivery,8321.28
484,12947,377,2025-12-23,1,Late Delivery,7849.47
485,12974,29,2025-08-07,1,Customer Changed Mind,11810.39
486,13000,168,2026-04-12,1,Late Delivery,3550.49
487,13093,492,2025-09-20,1,Size Issue,3750.44
488,13147,496,2023-04-08,1,Defective,11594.66
489,13179,1,2024-02-27,1,Customer Changed Mind,6350.76
490,13192,179,2023-11-14,1,Wrong Item,1951.71
491,13197,163,2026-08-14,2,Wrong Item,11709.54
492,13231,123,2024-06-10,2,Damaged,8257.81
493,13246,90,2025-05-22,2,Damaged,7036.71
494,13258,160,2023-07-22,2,Late Delivery,346.1
495,13278,30,2026-03-25,1,Late Delivery,6715.07
496,13290,466,2024-05-17,1,Damaged,8344.64
497,13307,53,2024-04-09,1,Late Delivery,9864.47
498,13336,212,2025-08-16,2,Customer Changed Mind,9694.25
499,13360,390,2024-02-01,2,Damaged,7486.75
500,13365,248,2025-08-20,2,Late Delivery,2456.95
501,13371,296,2025-03-29,2,Customer Changed Mind,6068.17
502,13489,238,2025-10-18,1,Defective,10110.08
503,13516,161,2025-11-07,1,Customer Changed Mind,10477.52
504,13546,443,2025-08-25,1,Late Delivery,7142.63
505,13550,349,2026-01-05,1,Wrong Item,2325.86
506,13559,431,2026-02-06,1,Damaged,974.78
507,13609,88,2025-11-01,2,Customer Changed Mind,1976.55
